id,url,title,description,priority,topic,topicid,stemd,topTerms,topStems
http://www.grundschule-cochem.de/,http://www.grundschule-cochem.de/,Grundschule Cochem,"Vorstellung der Schule, der Ganztagsangebote, Klassen und Projekte. Hält viele Bilder bereit.",-1,Top/World/Deutsch/Regional/Europa/Deutschland/Rheinland-Pfalz/Landkreise/Cochem-Zell/Städte_und_Gemeinden/Cochem,top_world_deutsch_regional_europa_deutschland_rheinland-pfalz_landkreise_cochem-zell_städte_und_gemeinden_cochem,"top world deutsch region europa deutschland rheinland-pfalz landkreis cochem-zel städte und gemeinden cochemvorstellung der schule, der ganztagsangebote, klassen und projekte. hält viel bilder bereit.grundschul cochem",,
http://www.cochem.dlrg.de/,http://www.cochem.dlrg.de/,DLRG Cochem,"Vorstellung der Vereinsinformationen und Jugendarbeit. Enthalten sind Termine, Statistiken und Foto-Galerie.",-1,Top/World/Deutsch/Regional/Europa/Deutschland/Rheinland-Pfalz/Landkreise/Cochem-Zell/Städte_und_Gemeinden/Cochem,top_world_deutsch_regional_europa_deutschland_rheinland-pfalz_landkreise_cochem-zell_städte_und_gemeinden_cochem,"top world deutsch region europa deutschland rheinland-pfalz landkreis cochem-zel städte und gemeinden cochemvorstellung der vereinsinformationen und jugendarbeit. enthalten sind termine, statistiken und foto-galerie.dlrg cochem",,"und, "
http://www.studienkreis.de/cochem.html,http://www.studienkreis.de/cochem.html,Nachhilfe Studienkreis Cochem,"Das Lernkonzept, die Fachangebote und individuelle Förderungsmöglichkeiten werden vorgestellt. Zusätzliche Service-Angebote.",-1,Top/World/Deutsch/Regional/Europa/Deutschland/Rheinland-Pfalz/Landkreise/Cochem-Zell/Städte_und_Gemeinden/Cochem,top_world_deutsch_regional_europa_deutschland_rheinland-pfalz_landkreise_cochem-zell_städte_und_gemeinden_cochem,"top world deutsch region europa deutschland rheinland-pfalz landkreis cochem-zel städte und gemeinden cochemda lernkonzept, die fachangebot und individuell förderungsmöglichkeiten werden vorgestellt. zusätzlich service-angebote.nachhilf studienkrei cochem",,
http://www.tanzkeller-moselperle.de/,http://www.tanzkeller-moselperle.de/,Tanzkeller Moselperle,Das Tanzlokal im Ortsteil Cond berichtet über aktuelle Events und stellt seine Fotogalerie und sein Gästebuch vor.,-1,Top/World/Deutsch/Regional/Europa/Deutschland/Rheinland-Pfalz/Landkreise/Cochem-Zell/Städte_und_Gemeinden/Cochem/Freizeit,top_world_deutsch_regional_europa_deutschland_rheinland-pfalz_landkreise_cochem-zell_städte_und_gemeinden_cochem_freizeit,top world deutsch region europa deutschland rheinland-pfalz landkreis cochem-zel städte und gemeinden cochem freizeitda tanzlok im ortsteil cond berichtet über aktuell event und stellt sein fotogaleri und sein gästebuch vor.tanzkel moselperl,,"und, "
http://www.warsteiner-sepp-cochem.de/home.html,http://www.warsteiner-sepp-cochem.de/home.html,Warsteiner Sepp,"Das zentral gelegene Stimmungslokal stellt seine Events und sein Team vor. Eine Fotogalerie, ein Gästebuch, ein Shop und örtliche Links sind vorhanden.",-1,Top/World/Deutsch/Regional/Europa/Deutschland/Rheinland-Pfalz/Landkreise/Cochem-Zell/Städte_und_Gemeinden/Cochem/Freizeit,top_world_deutsch_regional_europa_deutschland_rheinland-pfalz_landkreise_cochem-zell_städte_und_gemeinden_cochem_freizeit,"top world deutsch region europa deutschland rheinland-pfalz landkreis cochem-zel städte und gemeinden cochem freizeitda zentral gelegen stimmungslok stellt sein event und sein team vor. ein fotogalerie, ein gästebuch, ein shop und örtlich link sind vorhanden.warstein sepp",,"ein, und, "
http://www.apollo-kino-cochem.de/,http://www.apollo-kino-cochem.de/,Apollo Kino Cochem,"Berichtet über aktuelle Programme und Aufführungszeiten. Informiert über Filmarchiv, Specials und Eintrittspreise.",-1,Top/World/Deutsch/Regional/Europa/Deutschland/Rheinland-Pfalz/Landkreise/Cochem-Zell/Städte_und_Gemeinden/Cochem/Freizeit,top_world_deutsch_regional_europa_deutschland_rheinland-pfalz_landkreise_cochem-zell_städte_und_gemeinden_cochem_freizeit,"top world deutsch region europa deutschland rheinland-pfalz landkreis cochem-zel städte und gemeinden cochem freizeitberichtet über aktuell programm und aufführungszeiten. informiert über filmarchiv, special und eintrittspreise.apollo kino cochem",,"cochem, und, "
http://www.moselbad.de/,http://www.moselbad.de/,Freizeitzentrum Cochem,"Das Wellen-und Erlebnisbad informiert über Preise und Öffnungszeiten. Übersichten über das Kinderland, dem Wellnessbereich und sportlichem Freizeitvergnügen.",-1,Top/World/Deutsch/Regional/Europa/Deutschland/Rheinland-Pfalz/Landkreise/Cochem-Zell/Städte_und_Gemeinden/Cochem/Freizeit,top_world_deutsch_regional_europa_deutschland_rheinland-pfalz_landkreise_cochem-zell_städte_und_gemeinden_cochem_freizeit,"top world deutsch region europa deutschland rheinland-pfalz landkreis cochem-zel städte und gemeinden cochem freizeitda wellen-und erlebnisbad informiert über preis und öffnungszeiten. übersichten über das kinderland, dem wellnessbereich und sportlichem freizeitvergnügen.freizeitzentrum cochem","und, ","und, cochem, "
http://www.golfcochem.eu/,http://www.golfcochem.eu/,Golf - Club - Cochem,"Übersicht über Spielbetrieb, Mitgliedschaft und Gebühren.",-1,Top/World/Deutsch/Regional/Europa/Deutschland/Rheinland-Pfalz/Landkreise/Cochem-Zell/Städte_und_Gemeinden/Cochem/Freizeit,top_world_deutsch_regional_europa_deutschland_rheinland-pfalz_landkreise_cochem-zell_städte_und_gemeinden_cochem_freizeit,"top world deutsch region europa deutschland rheinland-pfalz landkreis cochem-zel städte und gemeinden cochem freizeitübersicht über spielbetrieb, mitgliedschaft und gebühren.golf - club - cochem",,"cochem, "
http://www.moselstern.de/,http://www.moselstern.de/,Moselstern Hotels,"Präsentation der gastronomischen Angebote, der Zimmer und Suiten sowie des Wellnessbereiches. Tagungsangebote, Arrangements und Online-Reservierungen.",-1,Top/World/Deutsch/Regional/Europa/Deutschland/Rheinland-Pfalz/Landkreise/Cochem-Zell/Städte_und_Gemeinden/Cochem/Gastgewerbe,top_world_deutsch_regional_europa_deutschland_rheinland-pfalz_landkreise_cochem-zell_städte_und_gemeinden_cochem_gastgewerbe,"top world deutsch region europa deutschland rheinland-pfalz landkreis cochem-zel städte und gemeinden cochem gastgewerbepräsent der gastronomischen angebote, der zimmer und suiten sowi des wellnessbereiches. tagungsangebote, arrang und online-reservierungen.moselstern hotel",,"und, "
http://www.cochem-gut.de/,http://www.cochem-gut.de/,G.u.T. - Gastlichkeit & Tourismus e. V.,Die Interessengemeinschaft stellt den Verein und die Mitglieder vor. Hinweise zu Urlaub und Touristik.,-1,Top/World/Deutsch/Regional/Europa/Deutschland/Rheinland-Pfalz/Landkreise/Cochem-Zell/Städte_und_Gemeinden/Cochem/Gastgewerbe,top_world_deutsch_regional_europa_deutschland_rheinland-pfalz_landkreise_cochem-zell_städte_und_gemeinden_cochem_gastgewerbe,top world deutsch region europa deutschland rheinland-pfalz landkreis cochem-zel städte und gemeinden cochem gastgewerbedi interessengemeinschaft stellt den verein und die mitglied vor. hinweis zu urlaub und touristik.g.u.t. - gastlichkeit & tourismus e. v.,,"und, "
